löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0416,BD,Arjeplog,Arjeplog,Mellanströms Folkets husförening,1989,Mellanströms Folkets Hus,ideell förening,Byns föreningar,Mellanström 1:28,,,,1939,utanför tätortsbebyggelse,,,,,,,FHP-enkät,
0417,AC,Vilhelmina,,,1947,Meselefors Folkets Hus,,,,,,,1951,,,,,,,ARAB: [samling]: Organisationsklipp vol. 7,"FHP, Västerbottens Folkblad 22, 24 och 26 nov 1951",
0418,E,Mjölby,Mjölby,Mjölby Folkets Hus och Park,1914,Kvarnparken,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, idrottsförening",,,,,1914,inne i tätortsbebyggelse,"1999 totalrenovering arkitekt Ingemar Magnusson, byggmästare Egirs AB","dansbana, restaurang",,,,Föreningsarkivet i Mjölby,FHP-enkät,"Föreningen har haft tidigare FH i centrum av Mjölby: Drabanten, sålt till kommunen, och i Hopstad, sålt till privatperson."
0419,W,Mora,Mora,Föreningen Mora-Norets Folkets Hus upa,1913,Mora-Norets Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda",Noret 21:16,Lasarettsvägen 6,,,1911,i anslutning till tätortsbebyggelse,"1934, 1972",scen,"mötesverksamhet, studiecirklar",,,"Folkrörelsearkivet i Dalarna 0, 3 hm 1912- 1982","FHP-enkät, NAD, FAW",
0420,W,Mora,,Moraparken AB,1996,Moraparken AB,kommunalt bolag,kommun,Stranden 44:16,Parkvägen 1,,,"1977, 1982",i anslutning till tätortsbebyggelse,1985 tillbyggnad hotell,"teatersalong inomhus, restaurang","restaurang, hotell, konferens, nöje",,,"I lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar","FHP-enkät, FPC, FAW",Enligt FAW inventering byggdes parken 1977
0421,U,Heby,Vittinge,Morgongåva Folkets husförening upa,1920,Morgongåva Folkets Hus,ekonomisk förening upa,"fackförening, enskilda","Axsjön 30, Morgongåva",,,,,i anslutning till tätortsbebyggelse,1940,"scen, kök, danslokal","mötesverksamhet, dans, bingo",,,"kommunarkivet: protokoll, räkenskaper, verksamhetsberättelser ARAB: [samling]: Organisationsklipp vol. 7","FHP-enkät, SF, Västmanlands Folkblad 10 aug 1940 samt Folkparken nr 1 1941",Inköpt 1920. Tidigare ägare logen 983 Livsglädje av NOV.
0422,BD,Kalix,,,,Morjärvs Folkets Hus,,,,,,,,,,,,,,,FHP,
0423,E,Motala,,Motala Folkets husförening,1900,Motala Folkets Hus,,,,,,,1906 (1907),,,,,,"Katalog över föreningen Folkets Hus bibliotek Motala verkstad, 1910 Andersson-Langseth-Michelson-Person: Folkets Hus vid Motala Verkstad, Stockholm 1973 Föreningen Folkets Hus Motala 1905-1980 : 75 år",NM inventering 1958 fotografier och historik Folkrörelsernas arkiv i Motala: Folkets Hus Motala Verkstad arkiv 64 vol. 1889-1969 och Motala Folkets husförening 132 vol. 1942-1991 ARAB: [samling]: Organisationsklipp vol. 7,"FHP, SF, NM, NAD, Östergötlands Folkblad 28 sept 1925",
0424,E,Motala,,Motala Folkets husförening,1900,Motala Folkets Park,,,,,,,1903,,,,,,Folkets Park i Motala 1903-1943.,Folkrörelsernas arkiv i Motala 162 vol. 1905-1989,"FHP, SF, FPC, NAD",
0425,M,Malmö,,Motettens Folkets husförening,1979,Motettens Folkets Hus,ideell förening som hyr huset,"fackförening, arbetarekommun, s-förening, enskilda, hyräsgästförening, bostadsrättsföreningar",Motetten 2,Munkhättegatan 202,,,1974,inne i tätortsbebyggelse,,,,,,I lokalen 1979-,FHP-enkät,
0426,O,Munkedal,,Munkedals Folkets husförening,1908,Munkedals Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Önnebacka 1:65,Stalevägen 85,"Ritingenjör Richard Eriksson, Munkedals AB",Egen regi och arbetskraft,1923,inne i tätortsbebyggelse,,,,,,"I lokalen 1908- ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment ARAB: [samling]: Organisationsklipp vol. 7","FHP-enkät, SF, ARAB, Kuriren 16 okt 1948",Inköpt 1922.
0427,O,Munkedal,,Munkedals folkparksförening,1931,Munkedals Folkpark,ideell förening,"fackförening, arbetarekommun, idrottsförening",,Parkvägen,,Munkedals AB,1931,inne i tätortsbebyggelse,,,,,,"Bohusläns föreningsarkiv, Uddevalla 1932-1985   0,75 hm ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP-enkät, SF, FA. FHC, FPC, ARAB",
0428,S,Munkfors,Munkfors,Föreningen Folkets Hus Munkfors,1918,Munkfors Folkets Hus & Park,,,,,,,1923,,,,,,Minnesskrift 1918-1943 / Folkets husföreningen i Munkfors 25 år,Privat förvairng kontakta Folkrörelsernas arkiv för Värmland 1904-1909,"FHP, SF, NM, NAD",
0429,BD,Piteå,,Munksunds Folkets husförening,1921,Munksunds Folkets Hus,,Folkets husföreningn och nykterhetsloge,,,,,1938,,,"samlingssal, scen, vestibul, garderob, konferensrum, kök, vaktmästarbostd och bibliotek",,,,,"FHP, SF, LS",
0430,AB,Haninge,,,,Muskö hembygdsgård,,,,,,,,,,,,,,,FHP,
0431,O,Trollhättan,,Mustadfors Folkets husförening upa,1931,Mustadfors Folkets Hus,ekonomisk förening,,,Dals Långed,,,1937,,,,,,,"ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment ARAB: [samling]: Organisationsklipp vol. 7","FHP, SF, ARAB, Nya Älvsborgaren 27 sept 1937",
0432,Z,Berg,,Myssjö/Ovikens IF,,,,,,,,,,,,,,,,,"FHP, NM",Enligt NM inventeringsrapport 1958 fanns ett Folkets Hus i Bergs kommun byggt 1928 och nyttjades fram till 1956
0433,H,Nybro,Hälleberga,Folkets Hus Målerås,1920,Folkets Hus Målerås,ekonomisk förening upa,"fackförening, s-förening, enskilda",Målerås 1:34,N. Måleråsv. 6,,,1921,inne i tätortsbebyggelse,"1980 handikapptoalett samt ramp för rullstol, renovering av scen och kök","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, teater, bio, uthyrning",,,"I lokalen protokoll, räkenskaper, verksamhetsberättelser","FHP-enkät, SF",
0434,H,Hultsfred,Målilla,Målilla byggnadsförening upa,1924,Målilla Folkets Hus Skeppet,ekonomisk förening upa,"fackförening, s-förening, enskilda, kommun",Målilla 14:43,Atlantvägen 2,Woigt arkitektbyrå,Skanska,1976,inne i tätortsbebyggelse,,,,,,I lokalen 1924-,FHP-enkät,En tidigare Folkets husbyggnad som låg på Vetlandavägen är riven
0435,AB,Södertälje,,Föreningen Folkets Hus och Park Mölnbo,1916,Mölnbo Folkets Hus och Park,,,,,,,"FP 1917, FH 1922",,,,,,,"Södertälje folkrörelsearkiv 1 vol 1916-1933 ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP, SF, SÖFA, NAD, ARAB",
0436,O,Mölndal,Fässberg,Mölndals Folkets Hus andelsförening,1922,Mölndals Folkets Hus,ekonomisk förening,,,Göteborgsvägen 19,,,1959,,,,,,Utkast till översikt över Folkets Husföreningen i Mölndals 50-åriga verksamhet 1908 -,NM inventering 1958 fotografier Folkrörelsearkivet i Mölndal 1930-1983 ARAB: [samling] Folkets Hus och Parker övriga landet vol. 7,"FHP, NM, NAD, FA, ARAB","Två olika byggnader. 1906 fanns en Mölndals Folkets Hus´ Byggnadsförening där man läsa en uppmaning på en affisch 1906 att ""verka för ett nytt Folkets Hus, då det gamla är alltför trångt och ett nytt sådant, mera centralt , är af nöden."
0437,O,Härryda,,Mölnlycke Folkets husförening,1903,Mölnlycke Folkets Hus,,fackföreningar (textil och möbelsnickare),,,,,1903-05,,,,,,,"ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP, SF, ARAB",
0438,K,Karlshamn,Mörrum,Mörrums Folkets husförening upa,1907,Mörrums Folkets Hus och Park,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun, PRO-förening, idrottsföreningar",Mörrum 12:80,Parkvägen 19,"Anders Malmsten, Malmö",Skånska cementgjuteriet,"FP 1923, FH 1966",inne i tätortsbebyggelse,1978 tillbyggnad kök och större dansbana 1991 tillbyggnad 1995 restaurering av friluftsscen,"FP: teatersalong inomhus 1966, friluftsscen 1925, dansbana 1966, restaurang 1990, Folkets hus 1966, mindre djurpark, kaffestuga i timmer FH (1966): scen, biograf, kök, restaurang, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, dans, restaurang, studiecirklar, bingo",,"Jubileumsskrifter: 50-, 60-, 70-, 75- och 80-års, Allan Svensson (50-års), Eric Johansson (60-80-års), Mörrum, 1957, 1967, 1977, 1982, 1987","Folkrörelsearkivet i Bräkne-Hoby och i lokalen: protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier NM: inventeringsrapport 1958, vykort, fotografier","FHP-enkät, SF, FA, NM",Ett äldre Folkets Hus inköptes av föreningen 1923
0439,Z,Åre,Mörsil,Byggnadsföreningen Folkets Hus i Mörsil upa,1917,Mörsils Folkets Hus,ekonomisk färening upa,"fackförening, arbetarekommun, enskilda",Äggen 14:1,Biogränd 7,,,1917,inne i tätortsbebyggelse,,,,,,"ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment FA Östersund","FHP-enkät, SF, ARAB",
0440,Y,Ånge,,,1957,"Naggens Folkets Hus ""Skogshyddan""",,,,,Ing Knut Wahlberg,,,,,,,,,ARAB: [samling]: Organisationsklipp vol. 7,"FHP, Sundsvalls Dagblad 16 aug 1958",
0441,BD,Gällivare,,Byggnadsföreningen Folkets Hus Nattavaara; Friska Viljor,1949,Nattavaara Folkets Hus,ekonomisk jförening,"Soc dem ungdomsklubben, SJF avd 10, godtemplarloge",,,,,1908,,,"sal, möteslokaler, kök, bostad.",,,Julfacklan 1916,"privat förvaring, kontakta folkrörelsearkivet i Norrbotten 1949-1976 ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP, LS, NAD, ARAB",
0442,BD,Gällivare,,Byggnadsföreningen Folkets Hus u p a Nilivaara,1945,Niilivaara Folkets Hus,ekonomisk förening,,,,,,1945,,,,"bingo, dans",,,"privat förvaring, kontakta folkrörelsearkivet i Norrbotten ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP, LS, NAD, ARAB",
0443,Y,Sundsvall,Njurunda,Njurunda Folkets husförening,1980,Njurunda Folkets Hus Notvallen,ideell förening,"fackförening, enskilda",Nolby 5:290,Centrumgatan 2,,,1950-talet,i anslutning till tätortsbebyggelse,,,,"Byggdes som kommunalkontor, därefter tjänstgjort som mellanstadieskola. 1994 byggdes en del av byggnaden om till Folkets hus.","Ehnberg, Stig: Njurunda Folkets Hus-förening 1911-1972 ARAB: Folkets husföreningar vol 2 [samling]",ARAB: Folkets husföreningar vol 2 [samling] I lokalen 1979-2000,"FHP-enkät, ARAB",Folkets Hus såldes till kommunen 1971
0444,X,Hudiksvall,,,,Njutångers Folkets Hus,,,,,,,1912,utanför tätort,1956 ombyggt till FH,"bio, dans",,nykterhetslokal,"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979",ARAB: [samling]: Organisationsklipp vol. 7,"FHP, Hälsinge Kuriren 26 nov 1956",Huset byggdes som oredenslokal och köptes av Folkets husföreningen 1956
0445,T,Nora,Nora,Föreningen Folkets Hus i Nora,1906,Nora Folkets Hus & Park,,,,,,,1921,,,,,,,FH  40 vol. 1907-1980 och FP 13 vol. 1913-1966 privat förvaring kontakta Folkrörelsernas arkiv i Örebro,"FHP, SF, FA, FHC, NAD",
0446,U,Norberg,,Föreningen Folkets Hus & Park upa Norberg,1914,"Kärrgruvans Folkets Hus, Norberg",,,,,,,1906,,,,,godtemplarlokal,Minnesskrift : Norberg Folkets husförening 1914-1939,ARAB: Organisationsklipp vol. 29 [samling],"FHP, NM, SF","Köptes av Folkets husföreningen 1927, rivet 1973"
0447,S,Filipstad,Nordmark,Föreningen Folkets Hus Nordmark,1924,Nordmarks Folkets Hus,,,,,,,1928,,,,,,,"NM inventering 1958 fotografi Privat förvaring kontakta Folkrörelsernas arkiv för Värmland 1936-1970 ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment","FHP, SF, NM, NAD, ARAB",
0448,W,Älvdalen,Älvdalen,Byggnadsföreningen Folkets Hus upa i Nornäs,1954,Nornäs Folkets Hus,ekonomisk förening upa,enskilda,Nornäs 16:1,"Nornäs, Skogsby",,,1955,inne i tätortsbebyggelse,Målning in- och utvändigt ca 1973 Byte av värmesystem från olja till värmepumpar ? Handikappanpassning ?,"scen, kök, studielokal, danslokal","mötesverksamhet, dans, studiecirklar",,,"i lokalen 1954- protokoll, korrespondens, räkenskaper, verksamhetsberättelser","FHP-enkät, NAD",
0449,F,Jönköping,Norrahammar,Byggnadsföreningen Folkets Hus upa [Norrahammar],1908,Norrahammar Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda, kommun",Norrahammar 47:1,Egnahemsvägen 4,"O Öberg, Jönköping",Otto Johansson,1926,i anslutning till tätortsbebyggelse,,,,,"Lindgren, Sigurd: Norrahammars Folkets husförening 1908-1958, jubileumsskrift Norrahammars Folkets husförening 80 år : 1908-1988 : jubileumsskrift Karlsson, Göran: 90 år : Norrahammars Folkets husförening, 1908-1998",Folkrörelsernas arkiv Norrahammar 61 vol. 1908-1999,"FHP-enkät, SF, FA, NAD",1894 invigdes Föreningshuset som skänkts av brukspatron J W Spånberg
0450,X,Hudiksvall,Norrbo,Norrbo Folkets Hus,1952,Norrbo Folkets Hus,ideell förening,enskilda,Bästdal 2:4,,,,1903,utanför tätortsbebyggelse,"1942, 1952, 1969",,,ordenslokal,"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979 Gunsth, Albin: Historik om Norrbo Folkets Hus, 1986","Privat förvaring, kontakta FA i Gävleborgs län: protokoll, räkenskaper, verksamhetsberättelser ARAB: [samling]: Organisationsklipp vol. 7","FHP. Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979 s. 14 Hälsinge Kuriren 27 nov 1958",FHP-enkät
0451,T,Örebro,,,,Norrbyås Folkets Hus,,,,,,,,,,,,,,,FHP,
0452,X,Gävle,,Norrsundets byggnadsförening,1906,Norrsundets Folkets Hus,,,,,,,1907,,,,,,,ARAB: Organisationsklipp vol. 26 [samling],"FHP, SF, Arbetarbla<det 19 april 1956",
0453,AB,Norrtälje,Norrtälje,Föreningen Folkets Hus i Norrtälje upa,1906,Norrtälje Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda",Verkstaden 1,Gallesgränd 5,,,,inne i tätortsbebyggelse,1907,,,,"100 år - Metall, Avd. 82 - Norrtälje [1999]",NM inventering 1958 fotografi Norrtälje stadsarkiv 154 vol. 1903-1995,"FHP-enkät, SF, NM, NAD",Övertogs 1907 från logen Verdandi. Rivet.
0454,AC,Norsjö,,,,Norsjö Folkets Hus,,,,,,,,,,,,,,,FHP,
0455,BD,Gällivare,,,,Nunisparken,,Gällivare Malmbergets hantverkares byggnadsförening,,,,,,,,,,,,,"FHP, LS",Gällivare sportklubb köpte parken på 1960-talet
0456,H,Nybro,Nybro,Föreningen Folkets Hus och Park Nybro,1907,Nybro Folkets Hus,,,,,,,1920,,,,,,Föreningen Nybro Folkets Hus och Park 1907-1947 Föreningen Nybro Folkets Hus och Park 1907-1957,ARAB [samling] Folkets Hus och Park; övriga landet vol. 8,"FHP, SF, ARAB",
0457,W,Ludvika,,Nyhammar Folkets Hus och Park,1918,Nyhammars Folkets Hus och Park,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb, enskilda, kommun",Saxhyttan 20:13 och 20:19,Folkets husvägen 12,,August Larsson och Karl Qvist,"FH 1916, 1917 FP 1918",i anslutning till tätortsbebyggelse,,,,,,I lokalen 1918-,"FHP-enkät, SF, FPC, FAW",Enligt FAW uppfördes byggnaden FH 1901 i privat ägo och övergick till folkrörelselokal 1919.
0458,AC,Skellefteå,,Nyhamns byggnadsförening,,Nyhamnsgården,,,Risön 1:34,,,,,,,,,skola,,,FHP. LS,
0459,S,Filipstad,Kroppa,Nykroppa Folkets husförening upa,1918,"Nykroppa Folkets Hus och Folkets Park, Dammboparken",ekonomisk förening upa,,Rävåsen 4:1,Mossängsv. 12,,,"FP 1919, FH 1924",inne i tätortsbebyggelse,,"FP: teatersalong inomhus 1925, friluftsscen 1920, dansbana 1919 FH: scen, biograf, studielokal, föreningsexpedition","mötesverksamhet, föreningsexpedition, teater, bio, dans, konstutställning, studiecirklar",,,I lokalen 1918- Folkrörelseernas arkiv för Värmland 45 vol. 1908-1971,"FHP-enkät, SF, FPC, NAD",
0460,AB,Nykvarn,,Nykvarns Folkets husförening,1983,Nykvarns Folkets Hus,ideell förening,"fackföreningar, arbetarekommun, s-förening, SSU-klubb, enskilda, idrottsföreningar, musikkår Kommunen betalar hyran till AB Nykvarnsbostäder och driftsbidrag till föreningen.",,Centrumvägen 26,Hans Ahlenius,Telgebostäder,1983,inne i tätortsbebyggelse,,"scen, biograf, kök, studielokal, danslokal","mötesverksamhet, teater, bio, dans, konstutställningar, studiecirklar","Byggdes som affärslokal, men användes aldrig som detta.",,I lokalen 1983-,FHP-enkät,
0461,AB,Nykvarn,,Nykvarns Folkets parkförening,1917,Nykvarns Folkets Park,,,,,,,1917,,,,,,,I lokalen,"FHP, SF",
0462,Y,Kramfors,,Nylands Folkets parkförening,,,,,,,,,,,,,,,,,FHP,
0463,AB,Nynäshamn,Nynäshamn,Föreningen Folkets Hus upa Nynäshamn,1906,Nynäshamns Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, SSU-klubb och andra föreningar",Valkyrian 11,Stadshusplatsen 3,Eric Ahlin,,1974,inne i tätortsbebyggelse,,"scen, biograf, kök, restaurang, studielokal, bibliotek, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, bio, dans, restaurang, studiecirklar",,,I lokalen 1916- Se även Nynäshamns kommuns centralarkiv: Nynäshamns kommun Inköpsavdelningen 69 vol 1968-76,"FHP-enkät, SF",Föreningen har haft ett tidigare FH som inte låg lika centralt. Blev skola.
0464,F,Nässjö,Nässjö,Nässjö Folkparken samråd,,Nässjö Folkets Park,,,,,,,1906,,,,,,Folkets Park Nässjö 50 år.,,"FHP, SF, FPC","Parken anlades av Byggnadsföreningen Folkets Hus Nässjö, som 1932 bytte namn till Föreningen Folkets Park, Nässjö."
0465,X,Hudiksvall,,Näsvikens byggnadsförening,1919,Näsvikens Folkets Hus,ekonomisk förening,,,,,,1920,,,,,,"Ageheim, Åsa: Samlingslokaler i Hudiksvalls kommun: examensarbete vid Arkitektursektionen, KTH. Stockholm, 1979",Folkrörelsernas arkiv i Gävleborgs län 12 vol. 1919-1970,"FHP, SF",
0466,K,Karlskrona,Nättraby,Föreningen Folkets Hus i Nättraby upa,1920,Åstugan,ekonomisk förening upa,S-förening,Västra Nättraby 7:8,Åvägen 7,,,1930-talet,inne i tätortsbebyggelse,Ombyggt från bostad till möteslokal 1964.,"kök, studielokal",mötesverksamhet,Bostad,,"I lokalen 1960-talet och framåt. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar",FHP-enkät,"Inköpt av Folkets husföreningen 1963. Föreningen har haft ett tidigare Folkets Hus på annan plats inom tätorten. Det såldes till kommunen, som först hyrde ut till fabrik, men är åter samlingslokal. Denna lokal var man tvingad att flytta från."
0467,D,Nyköping,Tunaberg,"Folkets Hus och Parkförening, Nävekvarn upa",1934,Nävekvarns Folkets Park,ekonomisk förening upa,"fackförening, s-förening, enskilda",Nävekvarn 2:1,,,,1934,i anslutning till tätortsbebyggelse,,"friluftsscen, dansbana, café Tidigare fanns byggnad med sittplatse till friluftsteatern. Den rasade en vinter med mycket snö, men teatern finns kvar.","mötesverksamhet, teater, dans, konserter",,"Tunabergsbygden 1968, Tunabergs hembygdsförening / R Larsson, Tunaberg, 1968",Nyköpings kommun- och folkrörelsearkiv 1921-1977,"FHP-enkät, SM, FPC, NAD",
0468,K,Olofström,,Andelsföreningen Folkets Hus i Olofström upa,1907,Olofström Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, kommun",Holje 176:1,Ö. Storgatan 24,,Lars Bergströms Fastighets- och försäljnings AB,1990,inne i tätortsbebyggelse,,"scen, studielokal, bibliotek, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, teater, dans, konstutställningar, studiecirklar",,"Albinsson, Tage m fl: Folkets hus i Olofström: Från Vilboken till Storgatan, 1995","I lokalen 1906- protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar",FHP-enkät,Föreningen har haft ett tidigare FH utanför tätortsbebyggelsen som var i mycket dåligt skick. Rivet.
0469,,,,Furudals Folkets husförening,1927,"Oreparken, Östanvik",,,,,,,1919,,,,,,,,"SF, FHP, FPC, FAW",
0470,H,Nybro,,Stiftelsen Orrefors Folkets Hus,,Orrefors Folkets Hus,,,,,,,1956,,,,,,,ARAB: [samling] Organisationsklipp vol. 8,"FHP, Östra Småland 23 jan 1956",
0471,W,Orsa,Orsa,Orsa Folkets Husförening u p a,,Orsa Folkets Hus,,,,,,,,,,,,,,,"FHP, FAW",Föreningen saknar lokal
0472,W,Orsa,Orsa,"Sörmedsjöns Folkets husförening, Orsa",1931,"Skeer Folkets Park, Orsa",stiftelse,kommunalts driftsbidrag,Vångsgärde 41:1,Orsa,,,1932-1934,utanför tätortsbebyggelse,,"dans, utescen, spelhallar, servering",,,"Wollmer, Lisa: Dokumentation av Skeer, Orsa 1984",I lokalen 1923-,"FHP-enkät, FPC, FAW",FHP-enkät
